created_at,id,author_id,text,name,location,username,clean_text,label
2022-03-02T10:43:15.000Z,237240888,237240888,0.71Mbps download speed. Much worse than my expectation. @ee https://t.co/Dp1QWHo7fW,Chris Jones,County Down UK,ChrisJonesBiz,mbps download speed much worse than my expectation,-1.0
2022-02-28T18:47:35.000Z,41803296,41803296,@Danjones_uk @VodafoneUK 15 text messages and the quietest notification sound. Got it for Christmas 98 I  think ðŸ¤” . Still use the same number ðŸ‘Š,Chris,"Altrincham, Cheshire. UK",redmeister81,text messages and the quietest notification sound got it for christmas i think still use the same number,-1.0
2022-03-02T22:14:20.000Z,356726040,356726040,.@EE 18 minutes and still no answer? https://t.co/XMz6wIvzap,Sarah,Blighty,misspheric,minutes and still no answer,-1.0
2022-02-28T18:45:34.000Z,142358555,142358555,"@VodafoneUK 1st phone Nokia 6110 , favourite phone IPhone 7 (my current phone )  favourite game -Snake #VodafoneTreats https://t.co/qDUED0iCV6",LydiaGough ðŸ’—,West midlands UK,lydfp_bobbysmum,st phone nokia favourite phone iphone my current phone favourite game snake,1
2022-02-28T17:07:05.000Z,30891441,30891441,"@VodafoneUK 1st phone was a Hagenuk _x000D_
Favourite phone was original Motorola Razr_x000D_
1st mobile game Snake (original 1st version)_x000D_
Favourite mobile game was and still is Candy Crush",Mark Lilley,Derby UK,Tig69,st phone was a hagenuk xd favourite phone was original motorola razrxd st mobile game snake original st versionxd favourite mobile game was and still is candy crush,1
2022-03-02T13:47:10.000Z,957000000000000000,957000000000000000,@EE 2 emails so far both with price increasesfor mobile and broadband. I'm pretty sure I didn't sign up for that.,Darren Hayhurst,"Ash, England",HayhurstDarren,emails so far both with price increasesfor mobile and broadband im pretty sure i didnt sign up for that,-1.0
2022-03-02T12:27:42.000Z,1220000000000000000,1220000000000000000,"@EE 21 million subscribers, if each pay an additional Â£3 per month (less than my increase) thatâ€™s an additional +Â£60m per year. Letâ€™s just be honest, itâ€™s increased profits not structure.",T O N I C ðŸ‡ºðŸ‡¦,The bar.,fi_tonic,million subscribers if each pay an additional per month less than my increase thats an additional m per year lets just be honest its increased profits not structure,1
2022-03-01T18:32:20.000Z,11231372,11231372,@VodafoneUK 22-mins and still holding to speak to a manager in your Complaints team - you couldn't make it up or any worse for a family member trying to resolve the death of their mum. @BBCWatchdog  is this worth looking into?,Jeremy Baker,London borders,jbee68,mins and still holding to speak to a manager in your complaints team you couldnt make it up or any worse for a family member trying to resolve the death of their mum is this worth looking into,-1.0
2022-03-03T07:08:08.000Z,32858060,32858060,"@EE @WeAreOpenreach @OpenreachHelp 2weeks on still no service have you found the key to the gate yet ,had the part delivered or have you come up with an acceptable excuse yet? Despicable! Still putting elderly &amp; vulnerable at risk and charging them for no network #gower #porteynon",donna phillips,Swansea UK,donnaphillipsx,weeks on still no service have you found the key to the gate yet had the part delivered or have you come up with an acceptable excuse yet despicable still putting elderly amp vulnerable at risk and charging them for no network,-1.0
2022-02-28T17:58:45.000Z,83860694,83860694,"@VodafoneUK 3210_x000D_
Blackberry_x000D_
Snake_x000D_
Snake II ðŸ",Megan Walton,Manchester,MegsonGrove,xd blackberryxd snakexd snake ii,1
