,tweet,label
0,@VodafoneUK Thailand feed the penguins #DreamHoliday,1
1,@EE Internet is down and I do not have the number associated with it. Can I speak to a human about this please?,-1
2,"@VodafoneUK Costa Rica.. Get lost in the jungleðŸ˜‚
#DreamHoliday https://t.co/aZQ0D7E720",-1
3,@EE if I take out your unlimited data add on on a monthly basis does it renew after a month or on my billing date?,-1
4,"@jamesarwallace Hey James. Thanks for taking the time to share this fantastic feedback with us.

Did you manage to catch their names at all? -Michael D",1
5,"Use auto-correct to finish this sentence and we could surprise you with #VodafoneTreats

Iâ€™m so happy whenâ€¦

#InternationalDayOfHappiness",1
6,"@woollyvix Good morning, I know how important it is to have a connection you can count on at the moment, so I'm sorry to hear this has been giving you some trouble. 

Let's get this checked out though, is it home broadband you have, or is this through 4G/5G? - Peter",1
7,@bt_uk Look up my details and see the notes. Shocking service.,-1
8,"@EE Thanks Tom. Just did that, and it sends me to apple muslic. I sign into my account and still the same. The 6 month offer isnt linked to my account.",-1
9,"@bt_uk ur wifi literally makes me so depressed - id be apex pred level SO EASY, the only thing holding me back is ur wifi - the singular reason that lets u call ur broadband â€œfibreâ€ is the similarity between the wifi and these steaming, fibrous logs im laying on the daily",-1
10,"@VodafoneUK Yay!! Iâ€™m going down under to Australia ðŸ‡¦ðŸ‡º to feed the penguins ðŸ§
#DreamHoliday",1
11,"Absolute cheek of @EE emailing me for money while we're all sat here using our phone data an cant watch telly because it wont connect. What am I actually payin for ffs ðŸ¤¬ awaits the standard tweet asking for details so you can help, for the millionth time yet here we still are ðŸ™„ https://t.co/ohmAdfwyZM",-1
12,"@VodafoneUK trying to add a data plan on my Apple Watch, went through the steps on one number, but itâ€™s stuck on thisâ€¦ ðŸ˜ https://t.co/BvJHH8nusB",-1
13,@bt_uk No it's both. The fibre to property isn't giving the 1gb it's supposed to and the voip phone is connected to the hub but states cannot make calls. Hub shows call options greyed out,-1
14,"@bt_uk So let me get this straight, I have unlimited broadband at massive cost which my phone now uses to call but I still have to pay for them calls?  But I can use Wi-Fi calling on my mobile as included in the package at no cost?",-1
15,@bt_uk Thank you. When I placed the order I remember ticking the box to keep current number.,-1
16,@VodafoneUK I'm so happy when I get a chance to look at the moment I am not sure if you have any questions,1
17,"@mrpaulk Hi Paul. 

We tell customers clearly at the point of sale when, and how any price rise will be calculated by how much, we will increase their prices, whether thatâ€™s because theyâ€™re joining as a new customer or renewing their package with us, and be that on the (1) -Olivia",-1
18,"@EE It's all the spam HMRC calls. All from 07531 prefix numbers,  so I answer it thinking it's someone's mobile.",-1
19,@VodafoneUK #dreamholiday Iâ€™m going to become a pro skater in Australia ðŸ‡¦ðŸ‡ºðŸ˜‚,1
20,"@TimboKey amongst other key points, are called out.

All customers will receive a price rise notification informing them of the increases and what it means for them, from 31st Jan. (3/3) -Olivia",-1
21,@EE https://t.co/8O7sX4nqAa,1
22,"@hrw @bt_uk @EE @O2 @VodafoneUK @Verizon @TelekomSK @TMobilePolska @vodafonebuzz STOPP AMHARA GENOCIDE IN ETHIOPIA EVERY SINGEL DAY INNOCENT PEOPLES BEING KILLED BECAUSE OF THERE ETHNIC JUSTICE FOR INNOCENT AMHARA PEOPLES 
AMHARA LIFE MATTERS 
AMHARA LIFE MATTERS
TPLF ONEG IS TERRORIST GROUPS https://t.co/lfaqtm0qBU",-1
